OP_UNIQUE_CARRIER,TOTAL_FLIGHTS,TOTAL_CANCELLED,TOTAL_DIVERTED,TOTAL_ARRIVED,DELAYED_FLIGHTS_W,SEV_DELAYED_FLIGHTS_W,ARR_DELAY_MIN_W,CANCEL_RATE,DIVERT_RATE,DELAY_RATE,SEVERE_DELAY_RATE,AVG_ARR_DELAY_MIN
9E,201520,4242.0,373.0,196905.0,26575.0,17976.0,2209933.0,0.021050019849146485,0.001850932909884875,0.1349635611081486,0.09129275538965491,11.22334628374089
AA,940531,9978.0,2495.0,928058.0,207399.0,139667.0,19258762.0,0.010608900716722788,0.0026527567937686264,0.22347633445323462,0.1504938268944398,20.751679313146376
AS,245344,1977.0,724.0,242643.0,45494.0,24894.0,2687218.0,0.008058073562019043,0.0029509586539715666,0.1874935604983453,0.10259517068285506,11.074780644815634
B6,274852,5763.0,1174.0,267915.0,81699.0,60063.0,7329300.0,0.020967648043310583,0.004271389693362246,0.3049437321538548,0.2241867756564582,27.35681092883937
DL,984986,10016.0,2039.0,972931.0,153815.0,99435.0,12215108.0,0.010168672448136318,0.002070080183880786,0.1580944589081857,0.10220149219214929,12.554958162500732
F9,177542,3774.0,309.0,173459.0,53139.0,37670.0,4438725.0,0.021256942019353166,0.0017404332495972784,0.3063490507843352,0.2171694752073977,25.589476475708956
G4,115539,782.0,332.0,114425.0,28728.0,19324.0,2509326.0,0.0067682773782013,0.0028734886055790687,0.25106401573082804,0.16887917850120165,21.929875464277913
HA,80967,1053.0,72.0,79842.0,18114.0,9206.0,1055540.0,0.013005298454926081,0.0008892511764052022,0.22687307432178552,0.11530272287768342,13.22036021141755
MQ,227488,2291.0,502.0,224695.0,39254.0,23730.0,2630215.0,0.01007086088057392,0.002206709804473203,0.17469903647166157,0.10560982665390863,11.705712187632123
NK,263871,4486.0,547.0,258838.0,73337.0,50504.0,5683067.0,0.017000731418003494,0.002072982631664715,0.28333165918450925,0.19511818202891384,21.95607677388946
OH,194144,2571.0,501.0,191072.0,30579.0,19564.0,2538843.0,0.013242747651227954,0.0025805587605076644,0.16003914754647464,0.10239072182214035,13.287362878914754
OO,675163,8252.0,2050.0,664861.0,104353.0,68413.0,9020188.0,0.012222233742074136,0.003036303825890933,0.15695461156542495,0.10289819977408812,13.567028296140096
UA,732212,10270.0,1910.0,720032.0,143647.0,95230.0,11241134.0,0.014025992472125558,0.0026085341403855712,0.19950085551753255,0.13225801075507757,15.611992244789121
WN,1438465,14325.0,2902.0,1421238.0,297425.0,171254.0,17234724.0,0.009958532185350356,0.002017428300306229,0.2092717757335506,0.12049635599385887,12.126557269085122
YX,295275,8163.0,622.0,286490.0,36119.0,23032.0,2659423.25,0.02764541529083058,0.002106510879688426,0.12607420852385773,0.08039373102027994,9.28277863101679
